year,term,value,source,corpus,smoothing,case_sensitive,query_group
1844,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1845,artificial flavor,5.034634931178061e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1846,artificial flavor,1.5216051751920645e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1847,artificial flavor,1.0088675450603546e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1848,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1849,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1850,artificial flavor,9.50660550280702e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1851,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1852,artificial flavor,4.235331807489473e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1853,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1854,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1855,artificial flavor,1.639737678971187e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1856,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1857,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1858,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1859,artificial flavor,1.2141361249717875e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1860,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1861,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1862,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1863,artificial flavor,1.4133998416099303e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1864,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1865,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1866,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1867,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1868,artificial flavor,6.340462599396801e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1869,artificial flavor,1.0598399935446423e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1870,artificial flavor,7.361752540901989e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1871,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1872,artificial flavor,3.1744470940786584e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1873,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1874,artificial flavor,9.147176349699748e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1875,artificial flavor,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1876,artificial flavor,1.426552764804967e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1877,artificial flavor,2.959941181046588e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1878,artificial flavor,5.461971985809555e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1879,artificial flavor,1.0912446501976092e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1880,artificial flavor,1.7516092465363897e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1881,artificial flavor,1.2973574992081183e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1882,artificial flavor,3.3425815448850926e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1883,artificial flavor,1.1901402086067492e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
